Year,Area of residence,Sex,Groups of persons,Countries of exploitation,Forms of exploitation,Value
2014,,,,Cyprus,,0.0
2014,,,,Romania,,0.1
2014,,,,Greece,,0.3
2014,,,,Czech,,0.1
2014,,,,Other,,1.8
2014,,,,,Sexual,4.1
2014,,,,,Work,3.1
2014,,,,,Begging,1.9
2014,,,,,Mixt,0.0
2014,,,,,Surrogate,0.0
2014,,,,,Engaging in criminal activities,0.2
2014,,,,,"Sampling of human organs, tissues or cells",0.0
2015,,,,,,11.0
2015,Urban,,,,,
2015,Rural,,,,,
2015,,Men,,,,7.0
2015,,Women,,,,14.0
2015,,,Adults,,,11.0
2015,,,Children,,,11.0
2015,,,,Republic of Moldova,,3.4
2015,,,,Russian Federation,,4.3
2015,,,,Germany,,0.3
2015,,,,Poland,,0.1
2015,,,,Turkey,,0.6
2015,,,,Italy,,0.4
2015,,,,Portugal,,0.0
2015,,,,Spain,,0.1
2015,,,,Cyprus,,0.0
2015,,,,Romania,,0.1
2015,,,,Greece,,0.2
2015,,,,Czech,,0.0
2015,,,,Other,,1.5
2015,,,,,Sexual,4.9
2015,,,,,Work,4.8
2015,,,,,Begging,1.0
2015,,,,,Mixt,0.0
2015,,,,,Surrogate,0.0
2015,,,,,Engaging in criminal activities,0.1
2015,,,,,"Sampling of human organs, tissues or cells",0.2
2016,,,,,,8.0
2016,Urban,,,,,
2016,Rural,,,,,
2016,,Men,,,,8.0
2016,,Women,,,,9.0
2016,,,Adults,,,9.0
2016,,,Children,,,6.0
2016,,,,Republic of Moldova,,1.5
2016,,,,Russian Federation,,2.8
2016,,,,Germany,,0.4
2016,,,,Poland,,0.1
2016,,,,Turkey,,0.5
2016,,,,Italy,,0.2
2016,,,,Portugal,,0.0
2016,,,,Spain,,0.2
2016,,,,Cyprus,,0.1
2016,,,,Romania,,0.2
2016,,,,Greece,,0.0
2016,,,,Czech,,0.3
2016,,,,Other,,2.2
2016,,,,,Sexual,3.3
2016,,,,,Work,3.0
2016,,,,,Begging,0.9
2016,,,,,Mixt,0.4
2016,,,,,Surrogate,0.0
2016,,,,,Engaging in criminal activities,0.7
2016,,,,,"Sampling of human organs, tissues or cells",0.0
2017,,,,,,9.0
2017,Urban,,,,,
2017,Rural,,,,,
2017,,Men,,,,9.0
2017,,Women,,,,9.0
2017,,,Adults,,,9.0
2017,,,Children,,,8.0
2017,,,,Republic of Moldova,,2.0
2017,,,,Russian Federation,,3.7
2017,,,,Germany,,0.3
2017,,,,Poland,,0.1
2017,,,,Turkey,,0.5
2017,,,,Italy,,0.7
2017,,,,Portugal,,0.1
2017,,,,Spain,,0.0
2017,,,,Cyprus,,0.2
2017,,,,Romania,,0.0
2017,,,,Greece,,0.2
2017,,,,Czech,,0.3
2017,,,,Other,,1.1
2017,,,,,Sexual,2.2
2017,,,,,Work,4.4
2017,,,,,Begging,0.5
2017,,,,,Mixt,0.0
2017,,,,,Surrogate,0.0
2017,,,,,Engaging in criminal activities,0.0
2017,,,,,"Sampling of human organs, tissues or cells",0.2
2018,,,,,,13.0
2018,Urban,,,,,
2018,Rural,,,,,
2018,,Men,,,,16.0
2018,,Women,,,,11.0
2018,,,Adults,,,14.0
2018,,,Children,,,10.0
2018,,,,Republic of Moldova,,3.8
2018,,,,Russian Federation,,2.0
2018,,,,Germany,,1.3
2018,,,,Poland,,0.5
2018,,,,Turkey,,0.7
2018,,,,Italy,,0.2
2018,,,,Portugal,,0.6
2018,,,,Spain,,0.6
2018,,,,Cyprus,,0.1
2018,,,,Romania,,0.8
2018,,,,Greece,,0.1
2018,,,,Czech,,1.1
2018,,,,Other,,1.2
2018,,,,,Sexual,3.4
2018,,,,,Work,8.9
2018,,,,,Begging,0.4
2018,,,,,Mixt,0.0
2018,,,,,Surrogate,0.0
2018,,,,,Engaging in criminal activities,0.0
2018,,,,,"Sampling of human organs, tissues or cells",0.0
