Year,Area of residence,Sex,Age group,level of training of the head of the household,Ethnicity of the head of the household,Wellbeing quintile,Value
2015,,,2-4,,,,
2015,,,5-9,,,,
2015,,,10-14,,,,
2015,,,,Primary and below,,,
2015,,,,Secondary,,,
2015,,,,Professional,,,
2015,,,,Higher,,,
2015,,,,,Moldovan/Romanian,,
2015,,,,,Russian,,
2015,,,,,Ucrainian,,
2015,,,,,Rum,,
2015,,,,,Gagauz,,
2015,,,,,Other,,
2015,,,,,,I,
2015,,,,,,II,
2015,,,,,,III,
2015,,,,,,IV,
2015,,,,,,V,
2016,,,,,,,
2016,Urban,,,,,,
2016,Rural,,,,,,
2016,,Men,,,,,
2016,,Women,,,,,
2016,,,2-4,,,,
2016,,,5-9,,,,
2016,,,10-14,,,,
2016,,,,Primary and below,,,
2016,,,,Secondary,,,
2016,,,,Professional,,,
2016,,,,Higher,,,
2016,,,,,Moldovan/Romanian,,
2016,,,,,Russian,,
2016,,,,,Ucrainian,,
2016,,,,,Rum,,
2016,,,,,Gagauz,,
2016,,,,,Other,,
2016,,,,,,I,
2016,,,,,,II,
2016,,,,,,III,
2016,,,,,,IV,
2016,,,,,,V,
2017,,,,,,,
2017,Urban,,,,,,
2017,Rural,,,,,,
2017,,Men,,,,,
2017,,Women,,,,,
2017,,,2-4,,,,
2017,,,5-9,,,,
2017,,,10-14,,,,
2017,,,,Primary and below,,,
2017,,,,Secondary,,,
2017,,,,Professional,,,
2017,,,,Higher,,,
2017,,,,,Moldovan/Romanian,,
2017,,,,,Russian,,
2017,,,,,Ucrainian,,
2017,,,,,Rum,,
2017,,,,,Gagauz,,
2017,,,,,Other,,
2017,,,,,,I,
2017,,,,,,II,
2017,,,,,,III,
2017,,,,,,IV,
2017,,,,,,V,
2018,,,,,,,
2018,Urban,,,,,,
2018,Rural,,,,,,
2018,,Men,,,,,
2018,,Women,,,,,
2018,,,2-4,,,,
2018,,,5-9,,,,
2018,,,10-14,,,,
2018,,,,Primary and below,,,
2018,,,,Secondary,,,
2018,,,,Professional,,,
2018,,,,Higher,,,
2018,,,,,Moldovan/Romanian,,
2018,,,,,Russian,,
2018,,,,,Ucrainian,,
2018,,,,,Rum,,
2018,,,,,Gagauz,,
2018,,,,,Other,,
2018,,,,,,I,
2018,,,,,,II,
2018,,,,,,III,
2018,,,,,,IV,
2018,,,,,,V,
