Year,Of which ethnicity:,Sex,Age group,From total with disability:,Citizenship,Beneficiary status - foreign citizen,Applicant organs,legal basis,Type of qualified assistance,Primary care,Value
2018,,,0-17,,,,,,,,2605
2018,,,18+,,,,,,,,47183
2018,,,,Physical,,,,,,,8
2018,,,,Mental,,,,,,,7
2018,,,,Intellectual,,,,,,,0
2018,,,,Sensory,,,,,,,1
2018,,,,,Republic of Moldova,,,,,,49736
2018,,,,,Foreign citizenship,,,,,,52
2018,,,,,Stateless,,,,,,0
2018,,,,,,Temporary protection,,,,,38
2018,,,,,,Humanitarian protection,,,,,1
2018,,,,,,Refugees,,,,,1
2018,,,,,,Asylum seekers,,,,,12
2018,,,,,,,Prosecution,,,,1836
2018,,,,,,,Police inspectorate,,,,21214
2018,,,,,,,Court,,,,19020
2018,,,,,,,Court of Appeal,,,,5269
2018,,,,,,,Supreme Court of Justice,,,,43
2018,,,,,,,Other organs,,,,2406
2018,,,,,,,,Regardless of income level (art. 20 law 198),,,36432
2018,,,,,,,,Depending on the income level (art. 21 law 198),,,13356
2018,,,,,,,,,Qualified criminal cases,,39929
2018,,,,,,,,,Qualified contravention cases,,2742
2018,,,,,,,,,Qualified civil cases,,3555
2018,,,,,,,,,Emergency criminal cases,,3517
2018,,,,,,,,,Emergency contravention cases,,45
2018,,,,,,,,,,Total,10535
