Year,Sex,Age group,Area of residence of the respondents,Discrimination criteria,Status of persons,Entities in which their were discriminated,Value
2012,,,,Other,,,
2012,,,,,Individuals,,
2012,,,,,Legal entities,,
2012,,,,,Persons with a position of responsibility,,
2012,,,,,,Polyclinic,
2012,,,,,,Place of work,
2012,,,,,,Police,
2012,,,,,,Town hall,
2012,,,,,,Street,
2012,,,,,,Social assistance,
2012,,,,,,School,
2012,,,,,,Shop,
2012,,,,,,Church,
2012,,,,,,Other,
2013,,,,,,,
2013,Men,,,,,,
2013,Women,,,,,,
2013,,18-29,,,,,
2013,,30-44,,,,,
2013,,45-59,,,,,
2013,,60+,,,,,
2013,,,Urban,,,,
2013,,,Rural,,,,
2013,,,,Social status,,,
2013,,,,Age,,,
2013,,,,Mental disability,,,
2013,,,,Physical disability,,,
2013,,,,Sexual orientation,,,
2013,,,,Existence of a criminal record,,,
2013,,,,HIV status,,,
2013,,,,Roma ethnicity,,,
2013,,,,Sex/gender,,,
2013,,,,Other ethnicity,,,
2013,,,,Religion,,,
2013,,,,Other,,,
2013,,,,,Individuals,,
2013,,,,,Legal entities,,
2013,,,,,Persons with a position of responsibility,,
2013,,,,,,Polyclinic,
2013,,,,,,Place of work,
2013,,,,,,Police,
2013,,,,,,Town hall,
2013,,,,,,Street,
2013,,,,,,Social assistance,
2013,,,,,,School,
2013,,,,,,Shop,
2013,,,,,,Church,
2013,,,,,,Other,
2014,,,,,,,19.5
2014,Men,,,,,,
2014,Women,,,,,,
2014,,18-29,,,,,
2014,,30-44,,,,,
2014,,45-59,,,,,
2014,,60+,,,,,
2014,,,Urban,,,,
2014,,,Rural,,,,
2014,,,,Social status,,,31.9
2014,,,,Age,,,28.8
2014,,,,Mental disability,,,25.7
2014,,,,Physical disability,,,23.9
2014,,,,Sexual orientation,,,19.9
2014,,,,Existence of a criminal record,,,14.2
2014,,,,HIV status,,,12.6
2014,,,,Roma ethnicity,,,7.2
2014,,,,Sex/gender,,,5.8
2014,,,,Other ethnicity,,,4.1
2014,,,,Religion,,,3.5
2014,,,,Other,,,2
2014,,,,,Individuals,,
2014,,,,,Legal entities,,
2014,,,,,Persons with a position of responsibility,,
2014,,,,,,Polyclinic,39.2
2014,,,,,,Place of work,22
2014,,,,,,Police,19.4
2014,,,,,,Town hall,19.3
2014,,,,,,Street,18.5
2014,,,,,,Social assistance,13.9
2014,,,,,,School,9.4
2014,,,,,,Shop,6.3
2014,,,,,,Church,2.2
2014,,,,,,Other,6
2015,,,,,,,
2015,Men,,,,,,
2015,Women,,,,,,
2015,,18-29,,,,,
2015,,30-44,,,,,
2015,,45-59,,,,,
2015,,60+,,,,,
2015,,,Urban,,,,
2015,,,Rural,,,,
2015,,,,Social status,,,
2015,,,,Age,,,
2015,,,,Mental disability,,,
2015,,,,Physical disability,,,
2015,,,,Sexual orientation,,,
2015,,,,Existence of a criminal record,,,
2015,,,,HIV status,,,
2015,,,,Roma ethnicity,,,
2015,,,,Sex/gender,,,
2015,,,,Other ethnicity,,,
2015,,,,Religion,,,
2015,,,,Other,,,
2015,,,,,Individuals,,
2015,,,,,Legal entities,,
2015,,,,,Persons with a position of responsibility,,
2015,,,,,,Polyclinic,
2015,,,,,,Place of work,
2015,,,,,,Police,
2015,,,,,,Town hall,
2015,,,,,,Street,
2015,,,,,,Social assistance,
2015,,,,,,School,
2015,,,,,,Shop,
2015,,,,,,Church,
2015,,,,,,Other,
2016,,,,,,,
2016,Men,,,,,,
2016,Women,,,,,,
2016,,18-29,,,,,
2016,,30-44,,,,,
2016,,45-59,,,,,
2016,,60+,,,,,
2016,,,Urban,,,,
2016,,,Rural,,,,
2016,,,,Social status,,,
2016,,,,Age,,,
2016,,,,Mental disability,,,
2016,,,,Physical disability,,,
2016,,,,Sexual orientation,,,
2016,,,,Existence of a criminal record,,,
2016,,,,HIV status,,,
2016,,,,Roma ethnicity,,,
2016,,,,Sex/gender,,,
2016,,,,Other ethnicity,,,
2016,,,,Religion,,,
2016,,,,Other,,,
2016,,,,,Individuals,,
2016,,,,,Legal entities,,
2016,,,,,Persons with a position of responsibility,,
2016,,,,,,Polyclinic,
2016,,,,,,Place of work,
2016,,,,,,Police,
2016,,,,,,Town hall,
2016,,,,,,Street,
2016,,,,,,Social assistance,
2016,,,,,,School,
2016,,,,,,Shop,
2016,,,,,,Church,
2016,,,,,,Other,
2017,,,,,,,
2017,Men,,,,,,
2017,Women,,,,,,
2017,,18-29,,,,,
2017,,30-44,,,,,
2017,,45-59,,,,,
2017,,60+,,,,,
2017,,,Urban,,,,
2017,,,Rural,,,,
2017,,,,Social status,,,
2017,,,,Age,,,
2017,,,,Mental disability,,,
2017,,,,Physical disability,,,
2017,,,,Sexual orientation,,,
2017,,,,Existence of a criminal record,,,
2017,,,,HIV status,,,
2017,,,,Roma ethnicity,,,
2017,,,,Sex/gender,,,
2017,,,,Other ethnicity,,,
2017,,,,Religion,,,
2017,,,,Other,,,
2017,,,,,Individuals,,
2017,,,,,Legal entities,,
2017,,,,,Persons with a position of responsibility,,
2017,,,,,,Polyclinic,
2017,,,,,,Place of work,
2017,,,,,,Police,
2017,,,,,,Town hall,
2017,,,,,,Street,
2017,,,,,,Social assistance,
2017,,,,,,School,
2017,,,,,,Shop,
2017,,,,,,Church,
2017,,,,,,Other,
2018,,,,,,,26
2018,Men,,,,,,26.6
2018,Women,,,,,,26
2018,,18-29,,,,,25.6
2018,,30-44,,,,,29
2018,,45-59,,,,,22.8
2018,,60+,,,,,26.9
2018,,,Urban,,,,28.6
2018,,,Rural,,,,24.2
2018,,,,Social status,,,23
2018,,,,Age,,,13
2018,,,,Mental disability,,,
2018,,,,Physical disability,,,8
2018,,,,Sexual orientation,,,
2018,,,,Existence of a criminal record,,,
2018,,,,HIV status,,,
2018,,,,Roma ethnicity,,,
2018,,,,Sex/gender,,,17
2018,,,,Other ethnicity,,,13
2018,,,,Religion,,,3
2018,,,,Other,,,26
2018,,,,,Individuals,,
2018,,,,,Legal entities,,
2018,,,,,Persons with a position of responsibility,,
2018,,,,,,Polyclinic,
2018,,,,,,Place of work,
2018,,,,,,Police,
2018,,,,,,Town hall,
2018,,,,,,Street,
2018,,,,,,Social assistance,
2018,,,,,,School,
2018,,,,,,Shop,
2018,,,,,,Church,
2018,,,,,,Other,
