Year,Sex of the petitioner,Criteria of discrimination,Area of discrimination,Form of discrimination,Value
2012,,Ethnical affiliation,,,
2012,,Maternity,,,
2012,,Nationality,,,
2012,,Age,,,
2012,,Rase,,,
2012,,Trade-union activity,,,
2012,,Pensioner status,,,
2012,,Other,,,
2012,,,Discrimination on the labour marke,,
2012,,,Access to education,,
2012,,,Access to goods and services available to the public,,
2012,,,Access to justice,,
2012,,,Hate speech,,
2012,,,Injured human dignity,,
2012,,,Exercise of parental rights,,
2012,,,Other,,
2012,,,,Direct,
2012,,,,Indirect,
2012,,,,By association,
2012,,,,Instigation to discrimination,
2012,,,,Harassment,
2012,,,,Victimization,
2012,,,,Refuse of reasonable accommodation,
2012,,,,Racial segregation,
2013,,,,,
2013,Men,,,,
2013,Women,,,,
2013,,,,,
2013,,,,,
2013,,Opinie,,,
2013,,Disability,,,
2013,,Social origin,,,
2013,,Language,,,
2013,,Sex/gender,,,
2013,,HIV status,,,
2013,,Sexual orientation,,,
2013,,Religion/belief,,,
2013,,Professional status,,,
2013,,Civil status,,,
2013,,Political affiliation,,,
2013,,Place of residence,,,
2013,,Ethnical affiliation,,,
2013,,Maternity,,,
2013,,Nationality,,,
2013,,Age,,,
2013,,Rase,,,
2013,,Trade-union activity,,,
2013,,Pensioner status,,,
2013,,Other,,,
2013,,,Discrimination on the labour marke,,
2013,,,Access to education,,
2013,,,Access to goods and services available to the public,,
2013,,,Access to justice,,
2013,,,Hate speech,,
2013,,,Injured human dignity,,
2013,,,Exercise of parental rights,,
2013,,,Other,,
2013,,,,Direct,
2013,,,,Indirect,
2013,,,,By association,
2013,,,,Instigation to discrimination,
2013,,,,Harassment,
2013,,,,Victimization,
2013,,,,Refuse of reasonable accommodation,
2013,,,,Racial segregation,
2014,,,,,2.27
2014,Men,,,,
2014,Women,,,,
2014,,,,,
2014,,,,,
2014,,Opinie,,,0
2014,,Disability,,,0.49
2014,,Social origin,,,0.07
2014,,Language,,,0
2014,,Sex/gender,,,0.45
2014,,HIV status,,,0
2014,,Sexual orientation,,,0.17
2014,,Religion/belief,,,0.17
2014,,Professional status,,,0.1
2014,,Civil status,,,0.1
2014,,Political affiliation,,,0.07
2014,,Place of residence,,,0.07
2014,,Ethnical affiliation,,,0.03
2014,,Maternity,,,0.03
2014,,Nationality,,,0.03
2014,,Age,,,0
2014,,Rase,,,0
2014,,Trade-union activity,,,0
2014,,Pensioner status,,,0
2014,,Other,,,0
2014,,,Discrimination on the labour marke,,0.31
2014,,,Access to education,,0.1
2014,,,Access to goods and services available to the public,,0.7
2014,,,Access to justice,,0.21
2014,,,Hate speech,,0
2014,,,Injured human dignity,,0.21
2014,,,Exercise of parental rights,,0.1
2014,,,Other,,0.03
2014,,,,Direct,0
2014,,,,Indirect,0
2014,,,,By association,0
2014,,,,Instigation to discrimination,0
2014,,,,Harassment,0
2014,,,,Victimization,0
2014,,,,Refuse of reasonable accommodation,0
2014,,,,Racial segregation,0
2015,,,,,1.27
2015,Men,,,,
2015,Women,,,,
2015,,,,,
2015,,,,,
2015,,Opinie,,,0.14
2015,,Disability,,,0.28
2015,,Social origin,,,0
2015,,Language,,,0.14
2015,,Sex/gender,,,0.28
2015,,HIV status,,,0
2015,,Sexual orientation,,,0.07
2015,,Religion/belief,,,0
2015,,Professional status,,,0
2015,,Civil status,,,0
2015,,Political affiliation,,,0
2015,,Place of residence,,,0.07
2015,,Ethnical affiliation,,,0.14
2015,,Maternity,,,0.04
2015,,Nationality,,,0.04
2015,,Age,,,0.11
2015,,Rase,,,0.14
2015,,Trade-union activity,,,0
2015,,Pensioner status,,,0
2015,,Other,,,0
2015,,,Discrimination on the labour marke,,0.35
2015,,,Access to education,,0.04
2015,,,Access to goods and services available to the public,,0.56
2015,,,Access to justice,,0
2015,,,Hate speech,,0
2015,,,Injured human dignity,,0.14
2015,,,Exercise of parental rights,,0.07
2015,,,Other,,0.04
2015,,,,Direct,0.91
2015,,,,Indirect,0.04
2015,,,,By association,0.04
2015,,,,Instigation to discrimination,0.11
2015,,,,Harassment,0.07
2015,,,,Victimization,0.04
2015,,,,Refuse of reasonable accommodation,0.25
2015,,,,Racial segregation,0
2016,,,,,1.49
2016,Men,,,,1.55
2016,Women,,,,1.02
2016,,,,,
2016,,,,,
2016,,Opinie,,,0
2016,,Disability,,,0.78
2016,,Social origin,,,0.04
2016,,Language,,,0.11
2016,,Sex/gender,,,0.28
2016,,HIV status,,,0.04
2016,,Sexual orientation,,,0
2016,,Religion/belief,,,0
2016,,Professional status,,,0
2016,,Civil status,,,0
2016,,Political affiliation,,,0
2016,,Place of residence,,,0
2016,,Ethnical affiliation,,,0.04
2016,,Maternity,,,0.04
2016,,Nationality,,,0.04
2016,,Age,,,0.07
2016,,Rase,,,0
2016,,Trade-union activity,,,0
2016,,Pensioner status,,,0
2016,,Other,,,0.04
2016,,,Discrimination on the labour marke,,0.11
2016,,,Access to education,,0.04
2016,,,Access to goods and services available to the public,,0.39
2016,,,Access to justice,,0.18
2016,,,Hate speech,,0
2016,,,Injured human dignity,,0
2016,,,Exercise of parental rights,,0
2016,,,Other,,0
2016,,,,Direct,0.14
2016,,,,Indirect,0.11
2016,,,,By association,0.04
2016,,,,Instigation to discrimination,0
2016,,,,Harassment,0.07
2016,,,,Victimization,0
2016,,,,Refuse of reasonable accommodation,0
2016,,,,Racial segregation,0
2017,,,,,1.98
2017,Men,,,,1.8
2017,Women,,,,1.04
2017,,,,,
2017,,,,,
2017,,Opinie,,,0
2017,,Disability,,,1.01
2017,,Social origin,,,0.14
2017,,Language,,,0.22
2017,,Sex/gender,,,0.32
2017,,HIV status,,,0.04
2017,,Sexual orientation,,,0.04
2017,,Religion/belief,,,0.07
2017,,Professional status,,,0.14
2017,,Civil status,,,0
2017,,Political affiliation,,,0
2017,,Place of residence,,,0.04
2017,,Ethnical affiliation,,,0
2017,,Maternity,,,0
2017,,Nationality,,,0
2017,,Age,,,0.36
2017,,Rase,,,0.14
2017,,Trade-union activity,,,0
2017,,Pensioner status,,,0
2017,,Other,,,0
2017,,,Discrimination on the labour marke,,0.36
2017,,,Access to education,,0.04
2017,,,Access to goods and services available to the public,,1.26
2017,,,Access to justice,,0.22
2017,,,Hate speech,,0
2017,,,Injured human dignity,,0.36
2017,,,Exercise of parental rights,,0
2017,,,Other,,0
2017,,,,Direct,1.04
2017,,,,Indirect,0.32
2017,,,,By association,0.07
2017,,,,Instigation to discrimination,0.18
2017,,,,Harassment,0.04
2017,,,,Victimization,0.11
2017,,,,Refuse of reasonable accommodation,0.22
2017,,,,Racial segregation,0
2018,,,,,3.04
2018,Men,,,,3.68
2018,Women,,,,1.96
2018,,,,,
2018,,,,,
2018,,Opinie,,,0.04
2018,,Disability,,,0.55
2018,,Social origin,,,0
2018,,Language,,,0.95
2018,,Sex/gender,,,0.48
2018,,HIV status,,,0
2018,,Sexual orientation,,,0
2018,,Religion/belief,,,0.15
2018,,Professional status,,,0
2018,,Civil status,,,0
2018,,Political affiliation,,,0.15
2018,,Place of residence,,,0.04
2018,,Ethnical affiliation,,,0.07
2018,,Maternity,,,0
2018,,Nationality,,,0
2018,,Age,,,0.11
2018,,Rase,,,0
2018,,Trade-union activity,,,0.07
2018,,Pensioner status,,,0.48
2018,,Other,,,0.11
2018,,,Discrimination on the labour marke,,0.95
2018,,,Access to education,,0.07
2018,,,Access to goods and services available to the public,,0.77
2018,,,Access to justice,,0.95
2018,,,Hate speech,,0
2018,,,Injured human dignity,,0.11
2018,,,Exercise of parental rights,,0
2018,,,Other,,0.18
2018,,,,Direct,1.83
2018,,,,Indirect,0.11
2018,,,,By association,0.04
2018,,,,Instigation to discrimination,0.22
2018,,,,Harassment,0.37
2018,,,,Victimization,0.15
2018,,,,Refuse of reasonable accommodation,0.29
2018,,,,Racial segregation,0
