Year,Economic activities,Rayons/Municipalities that have treatment plants,Value
2016,,UTA Găgăguzia,15.0
2017,,,17.1
2017,"Agriculture, forestry and fishing",,3.8
2017,Mining and quarrying,,0
2017,Manufacturing,,35.4
2017,"Production and supply of electric energy and heat, gas and hot water",,17.2
2017,Other activities,,53.9
2017,,,
2017,,Mun. Chișinău,99.4
2017,,Mun. Bălți,0
2017,,Cahul,87.4
2017,,Călărași,68.8
2017,,Drochia,41.7
2017,,Edineț,68.2
2017,,Florești,34.0
2017,,Glodeni,0
2017,,Hâncești,0
2017,,Ialoveni,20.0
2017,,Nisporeni,57.9
2017,,Orhei,19.6
2017,,Rezina,3.2
2017,,Sângerei,7.7
2017,,Telenești,0
2017,,UTA Găgăguzia,14.0
2018,,,18.0
2018,"Agriculture, forestry and fishing",,3.7
2018,Mining and quarrying,,0
2018,Manufacturing,,77.8
2018,"Production and supply of electric energy and heat, gas and hot water",,17.2
2018,Other activities,,51.9
2018,,,
2018,,Mun. Chișinău,99.3
2018,,Mun. Bălți,99.3
2018,,Cahul,86.7
2018,,Călărași,84.9
2018,,Drochia,42.2
2018,,Edineț,69.2
2018,,Florești,0
2018,,Glodeni,0
2018,,Hâncești,0
2018,,Ialoveni,26.7
2018,,Nisporeni,61.1
2018,,Orhei,16.1
2018,,Rezina,6.4
2018,,Sângerei,8.3
2018,,Telenești,60.0
2018,,UTA Găgăguzia,7.8
