Year,Ethnicity,Sex,Age group,Disability,Citizenship,Beneficiary status - foreign citizen,Requested authority,Legal basis,Type of qualified assistance,Primary care,Value
2014,,,,Mental,,,,,,,3.0
2014,,,,Intellectual,,,,,,,2.0
2014,,,,Sensory,,,,,,,0.0
2014,,,,,Republic of Moldova,,,,,,43062.0
2014,,,,,Foreign citizenship,,,,,,85.0
2014,,,,,Stateless,,,,,,0.0
2014,,,,,,Temporary protection,,,,,81.0
2014,,,,,,Humanitarian protection,,,,,3.0
2014,,,,,,Refugees,,,,,0.0
2014,,,,,,Asylum seekers,,,,,1.0
2014,,,,,,,Prosecution,,,,4411.0
2014,,,,,,,Police inspectorate,,,,22868.0
2014,,,,,,,Court,,,,8854.0
2014,,,,,,,Court of Appeal,,,,3950.0
2014,,,,,,,Supreme Court of Justice,,,,352.0
2014,,,,,,,Other authorities,,,,2712.0
2014,,,,,,,,Regardless of income level (art. 20 law 198),,,27356.0
2014,,,,,,,,Depending on the income level (art. 21 law 198),,,15791.0
2014,,,,,,,,,Qualified criminal cases,,36108.0
2014,,,,,,,,,Qualified contravention cases,,816.0
2014,,,,,,,,,Qualified civil cases,,2561.0
2014,,,,,,,,,Emergency criminal cases,,3366.0
2014,,,,,,,,,Emergency contravention cases,,304.0
2014,,,,,,,,,,Total,7403.0
2015,,,,,,,,,,,43980.0
2015,Bulgarians,,,,,,,,,,25.0
2015,Roma,,,,,,,,,,3.0
2015,Russians,,,,,,,,,,12.0
2015,Jews,,,,,,,,,,0.0
2015,Ukrainians,,,,,,,,,,12.0
2015,,Men,,,,,,,,,38947.0
2015,,Women,,,,,,,,,5033.0
2015,,,0-17,,,,,,,,2472.0
2015,,,18+,,,,,,,,41508.0
2015,,,,Physical,,,,,,,1.0
2015,,,,Mental,,,,,,,2.0
2015,,,,Intellectual,,,,,,,2.0
2015,,,,Sensory,,,,,,,0.0
2015,,,,,Republic of Moldova,,,,,,43883.0
2015,,,,,Foreign citizenship,,,,,,97.0
2015,,,,,Stateless,,,,,,0.0
2015,,,,,,Temporary protection,,,,,92.0
2015,,,,,,Humanitarian protection,,,,,2.0
2015,,,,,,Refugees,,,,,1.0
2015,,,,,,Asylum seekers,,,,,2.0
2015,,,,,,,Prosecution,,,,4536.0
2015,,,,,,,Police inspectorate,,,,23110.0
2015,,,,,,,Court,,,,9465.0
2015,,,,,,,Court of Appeal,,,,3983.0
2015,,,,,,,Supreme Court of Justice,,,,40.0
2015,,,,,,,Other authorities,,,,2846.0
2015,,,,,,,,Regardless of income level (art. 20 law 198),,,28671.0
2015,,,,,,,,Depending on the income level (art. 21 law 198),,,15309.0
2015,,,,,,,,,Qualified criminal cases,,36124.0
2015,,,,,,,,,Qualified contravention cases,,789.0
2015,,,,,,,,,Qualified civil cases,,2452.0
2015,,,,,,,,,Emergency criminal cases,,4153.0
2015,,,,,,,,,Emergency contravention cases,,462.0
2015,,,,,,,,,,Total,9813.0
2016,,,,,,,,,,,49560.0
2016,Bulgarians,,,,,,,,,,0.0
2016,Roma,,,,,,,,,,0.0
2016,Russians,,,,,,,,,,1.0
2016,Jews,,,,,,,,,,0.0
2016,Ukrainians,,,,,,,,,,1.0
2016,,Men,,,,,,,,,43940.0
2016,,Women,,,,,,,,,5620.0
2016,,,0-17,,,,,,,,2801.0
2016,,,18+,,,,,,,,46759.0
2016,,,,Physical,,,,,,,0.0
2016,,,,Mental,,,,,,,21.0
2016,,,,Intellectual,,,,,,,1.0
2016,,,,Sensory,,,,,,,0.0
2016,,,,,Republic of Moldova,,,,,,49471.0
2016,,,,,Foreign citizenship,,,,,,89.0
2016,,,,,Stateless,,,,,,0.0
2016,,,,,,Temporary protection,,,,,78.0
2016,,,,,,Humanitarian protection,,,,,0.0
2016,,,,,,Refugees,,,,,2.0
2016,,,,,,Asylum seekers,,,,,9.0
2016,,,,,,,Prosecution,,,,3585.0
2016,,,,,,,Police inspectorate,,,,25480.0
2016,,,,,,,Court,,,,13453.0
2016,,,,,,,Court of Appeal,,,,4267.0
2016,,,,,,,Supreme Court of Justice,,,,72.0
2016,,,,,,,Other authorities,,,,2703.0
2016,,,,,,,,Regardless of income level (art. 20 law 198),,,37535.0
2016,,,,,,,,Depending on the income level (art. 21 law 198),,,17066.0
2016,,,,,,,,,Qualified criminal cases,,40366.0
2016,,,,,,,,,Qualified contravention cases,,1086.0
2016,,,,,,,,,Qualified civil cases,,2910.0
2016,,,,,,,,,Emergency criminal cases,,4776.0
2016,,,,,,,,,Emergency contravention cases,,422.0
2016,,,,,,,,,,Total,9335.0
2017,,,,,,,,,,,54601.0
2017,Bulgarians,,,,,,,,,,0.0
2017,Roma,,,,,,,,,,0.0
2017,Russians,,,,,,,,,,0.0
2017,Jews,,,,,,,,,,0.0
2017,Ukrainians,,,,,,,,,,0.0
2017,,Men,,,,,,,,,47988.0
2017,,Women,,,,,,,,,6613.0
2017,,,0-17,,,,,,,,2864.0
2017,,,18+,,,,,,,,51737.0
2017,,,,Physical,,,,,,,1.0
2017,,,,Mental,,,,,,,0.0
2017,,,,Intellectual,,,,,,,2.0
2017,,,,Sensory,,,,,,,1.0
2017,,,,,Republic of Moldova,,,,,,54535.0
2017,,,,,Foreign citizenship,,,,,,66.0
2017,,,,,Stateless,,,,,,0.0
2017,,,,,,Temporary protection,,,,,36.0
2017,,,,,,Humanitarian protection,,,,,1.0
2017,,,,,,Refugees,,,,,3.0
2017,,,,,,Asylum seekers,,,,,26.0
2017,,,,,,,Prosecution,,,,2221.0
2017,,,,,,,Police inspectorate,,,,23996.0
2017,,,,,,,Court,,,,20039.0
2017,,,,,,,Court of Appeal,,,,5626.0
2017,,,,,,,Supreme Court of Justice,,,,60.0
2017,,,,,,,Other authorities,,,,2659.0
2017,,,,,,,,Regardless of income level (art. 20 law 198),,,38863.0
2017,,,,,,,,Depending on the income level (art. 21 law 198),,,15738.0
2017,,,,,,,,,Qualified criminal cases,,44005.0
2017,,,,,,,,,Qualified contravention cases,,2425.0
2017,,,,,,,,,Qualified civil cases,,3458.0
2017,,,,,,,,,Emergency criminal cases,,4525.0
2017,,,,,,,,,Emergency contravention cases,,188.0
2017,,,,,,,,,,Total,10849.0
2018,,,,,,,,,,,49788.0
2018,Bulgarians,,,,,,,,,,0.0
2018,Roma,,,,,,,,,,0.0
2018,Russians,,,,,,,,,,3.0
2018,Jews,,,,,,,,,,0.0
2018,Ukrainians,,,,,,,,,,1.0
2018,,Men,,,,,,,,,44173.0
2018,,Women,,,,,,,,,5615.0
2018,,,0-17,,,,,,,,2605.0
2018,,,18+,,,,,,,,47183.0
2018,,,,Physical,,,,,,,8.0
2018,,,,Mental,,,,,,,7.0
2018,,,,Intellectual,,,,,,,0.0
2018,,,,Sensory,,,,,,,1.0
2018,,,,,Republic of Moldova,,,,,,49736.0
2018,,,,,Foreign citizenship,,,,,,52.0
2018,,,,,Stateless,,,,,,0.0
2018,,,,,,Temporary protection,,,,,38.0
2018,,,,,,Humanitarian protection,,,,,1.0
2018,,,,,,Refugees,,,,,1.0
2018,,,,,,Asylum seekers,,,,,12.0
2018,,,,,,,Prosecution,,,,1836.0
2018,,,,,,,Police inspectorate,,,,21214.0
2018,,,,,,,Court,,,,19020.0
2018,,,,,,,Court of Appeal,,,,5269.0
2018,,,,,,,Supreme Court of Justice,,,,43.0
2018,,,,,,,Other authorities,,,,2406.0
2018,,,,,,,,Regardless of income level (art. 20 law 198),,,36432.0
2018,,,,,,,,Depending on the income level (art. 21 law 198),,,13356.0
2018,,,,,,,,,Qualified criminal cases,,39929.0
2018,,,,,,,,,Qualified contravention cases,,2742.0
2018,,,,,,,,,Qualified civil cases,,3555.0
2018,,,,,,,,,Emergency criminal cases,,3517.0
2018,,,,,,,,,Emergency contravention cases,,45.0
2018,,,,,,,,,,Total,10535.0
