Year,Area of residence,Sex,Age group,Age group 1 and Sex,Age group 2 and Sex,Employment status,Value
2014,,,15-24,,,,3.9
2014,,,25-34,,,,3.6
2014,,,35-44,,,,4.4
2014,,,45-54,,,,3.3
2014,,,55+,,,,1.1
2014,,,,0-14 / Total,,,5.5
2014,,,,15+ / Total,,,2.9
2014,,,,15+ / Men,,,2.8
2014,,,,15+ / Women,,,2.9
2014,,,,,15-24 / Total,,3.9
2014,,,,,15-24 / Men,,3.5
2014,,,,,15-24 / Women,,4.3
2014,,,,,25+ / Total,,2.7
2014,,,,,25+ / Men,,2.7
2014,,,,,25+ / Women,,2.7
2014,,,,,,Farmers,12
2014,,,,,,Employed in the agricultural sector,2.1
2014,,,,,,Employed in the non-agricultural sector,0.3
2014,,,,,,Self-employed,2.3
2014,,,,,,Retirees,1.2
2014,,,,,,Other,8.9
2015,,,,,,,2.5
2015,Urban,,,,,,0.7
2015,Rural,,,,,,3.8
2015,,Men,,,,,2.6
2015,,Women,,,,,2.3
2015,,,15-24,,,,3.1
2015,,,25-34,,,,2
2015,,,35-44,,,,3.8
2015,,,45-54,,,,2.5
2015,,,55+,,,,0.7
2015,,,,0-14 / Total,,,4.2
2015,,,,15+ / Total,,,2.1
2015,,,,15+ / Men,,,2.3
2015,,,,15+ / Women,,,2
2015,,,,,15-24 / Total,,3.1
2015,,,,,15-24 / Men,,3.2
2015,,,,,15-24 / Women,,3
2015,,,,,25+ / Total,,1.9
2015,,,,,25+ / Men,,2.1
2015,,,,,25+ / Women,,1.8
2015,,,,,,Farmers,13.7
2015,,,,,,Employed in the agricultural sector,4.2
2015,,,,,,Employed in the non-agricultural sector,0.5
2015,,,,,,Self-employed,2.1
2015,,,,,,Retirees,0.2
2015,,,,,,Other,3
2016,,,,,,,3.4
2016,Urban,,,,,,1.6
2016,Rural,,,,,,4.7
2016,,Men,,,,,3.6
2016,,Women,,,,,3.2
2016,,,15-24,,,,3.8
2016,,,25-34,,,,4.2
2016,,,35-44,,,,4.6
2016,,,45-54,,,,3.1
2016,,,55+,,,,1
2016,,,,0-14 / Total,,,5.5
2016,,,,15+ / Total,,,2.9
2016,,,,15+ / Men,,,3.2
2016,,,,15+ / Women,,,2.7
2016,,,,,15-24 / Total,,3.8
2016,,,,,15-24 / Men,,4.5
2016,,,,,15-24 / Women,,3.3
2016,,,,,25+ / Total,,2.7
2016,,,,,25+ / Men,,2.9
2016,,,,,25+ / Women,,2.6
2016,,,,,,Farmers,17.7
2016,,,,,,Employed in the agricultural sector,3.3
2016,,,,,,Employed in the non-agricultural sector,0.6
2016,,,,,,Self-employed,2.1
2016,,,,,,Retirees,0.4
2016,,,,,,Other,5.8
2017,,,,,,,2.2
2017,Urban,,,,,,1.4
2017,Rural,,,,,,2.8
2017,,Men,,,,,2.5
2017,,Women,,,,,2
2017,,,15-24,,,,2.5
2017,,,25-34,,,,2.9
2017,,,35-44,,,,2.6
2017,,,45-54,,,,2.7
2017,,,55+,,,,0.8
2017,,,,0-14 / Total,,,3.2
2017,,,,15+ / Total,,,2
2017,,,,15+ / Men,,,2.3
2017,,,,15+ / Women,,,1.7
2017,,,,,15-24 / Total,,2.5
2017,,,,,15-24 / Men,,2.9
2017,,,,,15-24 / Women,,1.9
2017,,,,,25+ / Total,,1.9
2017,,,,,25+ / Men,,2.2
2017,,,,,25+ / Women,,1.7
2017,,,,,,Farmers,8.3
2017,,,,,,Employed in the agricultural sector,4.2
2017,,,,,,Employed in the non-agricultural sector,0.3
2017,,,,,,Self-employed,1.7
2017,,,,,,Retirees,0.9
2017,,,,,,Other,4.7
2018,,,,,,,2.5
2018,Urban,,,,,,1.4
2018,Rural,,,,,,3.2
2018,,Men,,,,,2.5
2018,,Women,,,,,2.4
2018,,,15-24,,,,2.2
2018,,,25-34,,,,2.9
2018,,,35-44,,,,3.7
2018,,,45-54,,,,2.6
2018,,,55+,,,,0.7
2018,,,,0-14 / Total,,,4.2
2018,,,,15+ / Total,,,2.1
2018,,,,15+ / Men,,,2.2
2018,,,,15+ / Women,,,1.9
2018,,,,,15-24 / Total,,2.2
2018,,,,,15-24 / Men,,2.3
2018,,,,,15-24 / Women,,2.1
2018,,,,,25+ / Total,,2
2018,,,,,25+ / Men,,2.2
2018,,,,,25+ / Women,,1.9
2018,,,,,,Farmers,8
2018,,,,,,Employed in the agricultural sector,1.3
2018,,,,,,Employed in the non-agricultural sector,0
2018,,,,,,Self-employed,2.8
2018,,,,,,Retirees,0.8
2018,,,,,,Other,7.9
